Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11891,2023-02-23,0.028340046,0.0921380393,0.0873575653,21,100
Market-Adjusted Model,11955,2023-02-23,-0.000066126,0.0604013925,0.0589513937,21,100
Market-Adjusted Model,11990,2023-02-23,-0.073690995,-0.013850765,-0.014673476,21,100
Market-Adjusted Model,11995,2023-02-23,0.03794788,0.104489123,0.0969653993,21,100
Market-Adjusted Model,11996,2023-02-23,-0.015300417,0.0446485527,0.043717102,21,100
Market-Adjusted Model,12008,2023-02-23,0.1703441284,0.2323811266,0.2293616477,21,100
Market-Adjusted Model,12009,2023-02-23,-0.045951866,0.0265793699,0.0130656528,21,100
Market-Adjusted Model,12015,2023-02-23,-0.056199141,0.0034571066,0.0028183782,21,100
Market-Adjusted Model,12017,2023-02-23,-0.181999987,-0.129233965,-0.122982468,21,100
Market-Adjusted Model,12034,2023-02-23,-0.024879102,0.0350234664,0.0341384168,21,100
Market-Adjusted Model,12035,2023-02-23,-0.010864809,0.049558577,0.0481527101,21,100
Market-Adjusted Model,12036,2023-02-23,-0.088131248,-0.030544233,-0.029113729,21,100
Market-Adjusted Model,12039,2023-02-23,-0.028437002,0.0315543688,0.0305805178,21,100
Market-Adjusted Model,12049,2023-02-23,-0.481428536,-0.526826121,-0.422411016,21,100
Market-Adjusted Model,12052,2023-02-23,-0.039187841,0.0207979222,0.0198296784,21,100
Market-Adjusted Model,12054,2023-02-23,0.0112198853,0.0716900935,0.0702374047,21,100
Market-Adjusted Model,12059,2023-02-23,-0.014554136,0.0452164785,0.0444633833,21,100
Market-Adjusted Model,12060,2023-02-23,0.1161141397,0.1720074773,0.1751316591,21,100
Market-Adjusted Model,12062,2023-02-23,-0.090698075,-0.032717295,-0.031680555,21,100
Market-Adjusted Model,12064,2023-02-23,-0.004692391,0.0550726317,0.0543251287,21,100
Market-Adjusted Model,12065,2023-02-23,-0.014456883,0.0453856455,0.0445606366,21,100
Market-Adjusted Model,12066,2023-02-23,-0.020703573,0.0397520869,0.0383139462,21,100
Market-Adjusted Model,12068,2023-02-23,-0.100449764,-0.043612959,-0.041432245,21,100
Market-Adjusted Model,12070,2023-02-23,-0.093708513,-0.036246173,-0.034690993,21,100
Market-Adjusted Model,12075,2023-02-23,-0.020386578,0.039535015,0.038630941,21,100
Market-Adjusted Model,12076,2023-02-23,-0.092562215,-0.03411411,-0.033544696,21,100
Market-Adjusted Model,12078,2023-02-23,0.0425339635,0.1124413113,0.1015514828,21,100
Market-Adjusted Model,12082,2023-02-23,-0.06289311,-0.001239102,-0.003875591,21,100
Market-Adjusted Model,12084,2023-02-23,-0.069395586,-0.008883313,-0.010378066,21,100
Market-Adjusted Model,12098,2023-02-23,-0.074003769,-0.015337668,-0.01498625,21,100
Market-Adjusted Model,12103,2023-02-23,-0.053046787,0.0061630321,0.0059707326,21,100
Market-Adjusted Model,12105,2023-02-23,-0.075552068,-0.017292146,-0.016534549,21,100
Market-Adjusted Model,12109,2023-02-23,-0.004954541,0.0582791131,0.0540629784,21,100
Market-Adjusted Model,12146,2023-02-23,0.0961994635,0.1536826709,0.1552169829,21,100
Market-Adjusted Model,12166,2023-02-23,-0.212264127,-0.170167768,-0.153246608,21,100
Market-Adjusted Model,12189,2023-02-23,-0.140380959,-0.087385931,-0.081363439,21,100
Market-Adjusted Model,12209,2023-02-23,0.1111111397,0.1665346571,0.1701286591,21,100
Market-Adjusted Model,12211,2023-02-23,-0.06470973,-0.003532575,-0.005692211,21,100
Market-Adjusted Model,12219,2023-02-23,-0.110600298,-0.054640871,-0.051582779,21,100
Market-Adjusted Model,12226,2023-02-23,-0.001673459,0.0661291011,0.05734406,21,100
Market-Adjusted Model,12266,2023-02-23,-0.14384748,-0.087392805,-0.084829961,21,100
Market-Adjusted Model,12287,2023-02-23,-0.064418763,-0.006016944,-0.005401243,21,100
Market-Adjusted Model,12289,2023-02-23,-0.024185735,0.0354820877,0.034831784,21,100
Market-Adjusted Model,12292,2023-02-23,-0.051158136,0.0086766222,0.0078593835,21,100
Market-Adjusted Model,12294,2023-02-23,-0.050731922,0.0087159346,0.008285597,21,100
Market-Adjusted Model,12295,2023-02-23,-0.064240662,-0.005577076,-0.005223143,21,100
Market-Adjusted Model,12296,2023-02-23,-0.076697125,-0.018256266,-0.017679606,21,100
Market-Adjusted Model,12297,2023-02-23,-0.068173486,-0.009595641,-0.009155966,21,100
Market-Adjusted Model,12301,2023-02-23,-0.072364086,-0.013882269,-0.013346566,21,100
Market-Adjusted Model,12302,2023-02-23,-0.081702079,-0.024114992,-0.022684559,21,100
Market-Adjusted Model,12303,2023-02-23,-0.042758773,0.0169917611,0.0162587459,21,100
Market-Adjusted Model,12304,2023-02-23,-0.063108188,-0.004343181,-0.004090669,21,100
Market-Adjusted Model,12305,2023-02-23,-0.056825313,0.0022641847,0.0021922062,21,100
Market-Adjusted Model,12307,2023-02-23,-0.35057472,-0.351022448,-0.2915572,21,100
Market-Adjusted Model,12308,2023-02-23,-0.148034024,-0.097105859,-0.089016504,21,100
Market-Adjusted Model,12310,2023-02-23,-0.030172384,0.0502896261,0.0288451356,21,100
Market-Adjusted Model,12313,2023-02-23,-0.058482642,0.0005428849,0.0005348769,21,100
Market-Adjusted Model,12314,2023-02-23,-0.052197795,0.0075178064,0.006819724,21,100
Market-Adjusted Model,12315,2023-02-23,-0.063962587,-0.005438677,-0.004945068,21,100
Market-Adjusted Model,12316,2023-02-23,-0.060386254,-0.001449348,-0.001368734,21,100
Market-Adjusted Model,12317,2023-02-23,-0.058984475,0.000622924,0.0000330441,21,100
Market-Adjusted Model,12318,2023-02-23,-0.072333405,-0.013795778,-0.013315886,21,100
Market-Adjusted Model,12321,2023-02-23,-0.086729805,-0.029308995,-0.027712285,21,100
Market-Adjusted Model,12325,2023-02-23,0.1661305029,0.2251286186,0.2251480222,21,100
Market-Adjusted Model,12326,2023-02-23,-0.057302333,0.0016022649,0.0017151863,21,100
Market-Adjusted Model,12329,2023-02-23,-0.125968619,-0.072589828,-0.0669511,21,100
